epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1765.22,0.00319,0.29639,1.01322,0.99855,1,0.995,0.83794,0.00548,0.31586,1.11104,0.0001585,0.0001585,0.0001585
87,1785.48,0.00301,0.28229,0.99414,0.99838,1,0.995,0.83216,0.00534,0.32408,1.08721,0.0001486,0.0001486,0.0001486
88,1805.63,0.00304,0.28814,0.99476,0.99434,1,0.995,0.84539,0.00509,0.33924,1.09331,0.0001387,0.0001387,0.0001387
89,1825.71,0.00313,0.2891,1.00058,0.99855,1,0.995,0.8505,0.0051,0.31995,1.08576,0.0001288,0.0001288,0.0001288
90,1846.03,0.00311,0.28743,0.99927,0.99833,1,0.995,0.84704,0.00478,0.29113,1.06568,0.0001189,0.0001189,0.0001189
91,1866.18,0.00295,0.27418,0.99102,0.99846,1,0.995,0.84041,0.0048,0.28948,1.07657,0.000109,0.000109,0.000109
92,1886.38,0.00306,0.28282,0.99298,0.99833,1,0.995,0.8362,0.0055,0.31909,1.11143,9.91e-05,9.91e-05,9.91e-05
93,1906.65,0.00299,0.27558,0.99283,0.99808,1,0.995,0.84102,0.00486,0.31602,1.076,8.92e-05,8.92e-05,8.92e-05
94,1927.1,0.00303,0.27665,0.99982,0.99838,1,0.995,0.86638,0.0048,0.30612,1.05958,7.93e-05,7.93e-05,7.93e-05
95,1947.57,0.0029,0.26917,0.99164,0.99841,1,0.995,0.85749,0.0046,0.29957,1.04897,6.94e-05,6.94e-05,6.94e-05
96,1968.02,0.00283,0.26545,0.99175,0.99832,1,0.995,0.8622,0.00459,0.29997,1.05596,5.95e-05,5.95e-05,5.95e-05
97,1988.66,0.00274,0.25928,0.98642,0.99846,1,0.995,0.8648,0.00459,0.28684,1.0468,4.96e-05,4.96e-05,4.96e-05
98,2009.24,0.00277,0.26131,0.98215,0.99847,1,0.995,0.86,0.00454,0.28675,1.03433,3.97e-05,3.97e-05,3.97e-05
99,2029.98,0.0028,0.26171,0.98285,0.99846,1,0.995,0.85533,0.00455,0.28775,1.03475,2.98e-05,2.98e-05,2.98e-05
100,2050.3,0.00268,0.25491,0.97656,0.99846,1,0.995,0.86763,0.00456,0.29307,1.03767,1.99e-05,1.99e-05,1.99e-05
